,Region,Total_Amount,TRF,Opportunity_Owner,Delivery_Year,Delivery_Quarter,"Pricing, Delivery_Terms_Approved","Pricing, Delivery_Terms_Quote_Appr",Decision,Promedio_Region_Por_Quarter,Promedio_Owner_Por_Year_And_Quarter,Lag_1,Delta
10920,APAC,10.288749953326773,0,Person_Name_19,2017,Q4,0,0,1,14.012658972914792,11.090377610425067,10.994428059867705,17.31363053106255
10942,APAC,10.6635454383787,0,Person_Name_19,2017,Q4,1,1,1,14.012658972914792,11.090377610425067,10.994428059867705,17.31363053106255
10943,APAC,9.56493314971059,0,Person_Name_19,2017,Q4,1,1,1,14.012658972914792,11.090377610425067,10.994428059867705,17.31363053106255
10944,APAC,9.710406317455712,0,Person_Name_19,2017,Q4,1,1,1,14.012658972914792,11.090377610425067,10.994428059867705,17.31363053106255
10945,APAC,9.682703714906378,0,Person_Name_19,2017,Q4,1,1,1,14.012658972914792,11.090377610425067,10.994428059867705,17.31363053106255
10946,APAC,8.760139370026627,0,Person_Name_19,2017,Q4,1,1,1,14.012658972914792,11.090377610425067,10.994428059867705,17.31363053106255
10947,APAC,7.4222541481144235,0,Person_Name_19,2017,Q4,1,1,1,14.012658972914792,11.090377610425067,10.994428059867705,17.31363053106255
12704,APAC,8.980927207648378,0,Person_Name_19,2018,Q1,1,1,1,14.255778718898966,8.50375762274282,11.090377610425067,17.3116135604059
12705,APAC,8.691146498539675,0,Person_Name_19,2018,Q1,1,1,1,14.255778718898966,8.50375762274282,11.090377610425067,17.3116135604059
12706,APAC,8.180320874773685,0,Person_Name_19,2018,Q1,1,1,1,14.255778718898966,8.50375762274282,11.090377610425067,17.3116135604059
12707,APAC,7.304280545520827,0,Person_Name_19,2018,Q1,1,1,1,14.255778718898966,8.50375762274282,11.090377610425067,17.3116135604059
12708,APAC,7.026648808922547,0,Person_Name_19,2018,Q1,1,1,1,14.255778718898966,8.50375762274282,11.090377610425067,17.3116135604059
12709,APAC,9.329233901916593,0,Person_Name_19,2018,Q1,1,1,1,14.255778718898966,8.50375762274282,11.090377610425067,17.3116135604059
12710,APAC,8.066992189466681,0,Person_Name_19,2018,Q1,1,1,1,14.255778718898966,8.50375762274282,11.090377610425067,17.3116135604059
14645,APAC,9.445586392078024,0,Person_Name_19,2018,Q3,0,0,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14646,APAC,8.915700818956903,0,Person_Name_19,2018,Q3,0,0,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14664,APAC,12.655863363324695,1,Person_Name_19,2018,Q3,1,1,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14665,APAC,7.964242641349576,0,Person_Name_19,2018,Q3,0,0,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14747,APAC,7.649692623711514,0,Person_Name_19,2018,Q3,1,1,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14748,APAC,8.561631040846805,0,Person_Name_19,2018,Q3,1,1,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14749,APAC,8.748304912379623,0,Person_Name_19,2018,Q3,1,1,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14750,APAC,8.00009795463665,0,Person_Name_19,2018,Q3,1,1,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14751,APAC,9.04012128396986,0,Person_Name_19,2018,Q3,0,0,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14752,APAC,9.963641475355875,0,Person_Name_19,2018,Q3,0,0,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14762,APAC,8.532081803909987,0,Person_Name_19,2018,Q3,0,0,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14773,APAC,9.342686187081336,0,Person_Name_19,2018,Q3,0,0,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14842,APAC,9.062854930017686,0,Person_Name_19,2018,Q3,0,0,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14853,APAC,6.966024187106113,0,Person_Name_19,2018,Q3,1,1,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14854,APAC,5.519859636495273,0,Person_Name_19,2018,Q3,1,1,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14855,APAC,8.614682812693495,0,Person_Name_19,2018,Q3,1,1,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14886,APAC,10.30293458831873,0,Person_Name_19,2018,Q3,0,0,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14887,APAC,8.180320874773685,0,Person_Name_19,2018,Q3,0,0,1,13.967495859036921,10.122593809378207,8.50375762274282,17.314053092004677
14885,APAC,9.609787407758784,0,Person_Name_19,2018,Q4,0,0,1,14.012658972914792,9.609787407758784,10.122593809378207,17.3131467912982
14877,APAC,11.564711138119458,0,Person_Name_19,2019,Q1,1,1,1,14.255778718898966,11.564711138119458,9.609787407758784,17.31618100229482
6580,EMEA,12.024101027500507,0,Person_Name_2,2017,Q3,0,1,0,13.895475038093599,12.024101027500507,,17.318481473851406
8431,EMEA,10.409386057965563,0,Person_Name_2,2018,Q2,1,1,0,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
9741,EMEA,11.452705604976673,0,Person_Name_2,2018,Q2,1,1,1,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
9751,EMEA,11.452705604976673,0,Person_Name_2,2018,Q2,0,1,1,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
9752,EMEA,11.315038391634662,0,Person_Name_2,2018,Q2,0,1,1,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
9757,EMEA,11.375289660760613,0,Person_Name_2,2018,Q2,1,1,1,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
9758,EMEA,11.375289660760613,0,Person_Name_2,2018,Q2,1,1,1,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
9761,EMEA,11.21619255699803,0,Person_Name_2,2018,Q2,1,1,0,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
9762,EMEA,9.76275889304051,0,Person_Name_2,2018,Q2,1,1,1,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
11547,EMEA,12.203552973821862,1,Person_Name_2,2018,Q2,1,1,0,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
13158,EMEA,12.143356662560485,0,Person_Name_2,2018,Q2,1,1,1,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
13300,EMEA,12.230044876756967,0,Person_Name_2,2018,Q2,1,1,0,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
13415,EMEA,11.551989915915208,0,Person_Name_2,2018,Q2,0,1,0,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
13434,EMEA,11.30022330584952,0,Person_Name_2,2018,Q2,1,1,1,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
13435,EMEA,10.592038247925036,0,Person_Name_2,2018,Q2,1,1,1,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
13436,EMEA,10.689599835809817,0,Person_Name_2,2018,Q2,1,1,1,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
13437,EMEA,12.24361695430251,0,Person_Name_2,2018,Q2,1,1,0,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
13440,EMEA,12.811600991908449,1,Person_Name_2,2018,Q2,1,1,0,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
13507,EMEA,11.329637191055815,0,Person_Name_2,2018,Q2,1,1,1,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
13583,EMEA,11.285185428484981,0,Person_Name_2,2018,Q2,1,1,1,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
13727,EMEA,11.40791488807669,0,Person_Name_2,2018,Q2,1,1,1,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
13728,EMEA,11.428414822173119,0,Person_Name_2,2018,Q2,1,1,1,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
13911,EMEA,11.102445051215605,0,Person_Name_2,2018,Q2,1,1,1,13.912927174883757,11.606365974476104,12.024101027500507,17.311724924890076
9734,EMEA,10.749253883587913,0,Person_Name_2,2018,Q3,1,1,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
9735,EMEA,10.158071629684656,0,Person_Name_2,2018,Q3,1,1,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
11552,EMEA,13.082672278805157,1,Person_Name_2,2018,Q3,1,1,0,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
11754,EMEA,14.76158738663496,7,Person_Name_2,2018,Q3,1,1,0,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
11755,EMEA,15.431071188248403,13,Person_Name_2,2018,Q3,1,1,0,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
12291,EMEA,13.033901275895293,1,Person_Name_2,2018,Q3,1,1,0,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
12865,EMEA,14.049891927795283,4,Person_Name_2,2018,Q3,1,1,0,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
13174,EMEA,11.238665412850088,0,Person_Name_2,2018,Q3,1,1,0,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
13211,EMEA,12.534044704571084,1,Person_Name_2,2018,Q3,1,1,0,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
13584,EMEA,12.01776520905142,0,Person_Name_2,2018,Q3,0,1,0,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
13641,EMEA,11.760854795266393,0,Person_Name_2,2018,Q3,1,1,0,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
13705,EMEA,11.81402955775365,0,Person_Name_2,2018,Q3,0,0,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
13748,EMEA,12.016174962228087,0,Person_Name_2,2018,Q3,1,1,0,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
13893,EMEA,11.382747016369763,0,Person_Name_2,2018,Q3,1,1,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
13900,EMEA,11.3182418113522,0,Person_Name_2,2018,Q3,1,1,0,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
13926,EMEA,11.878411816682918,0,Person_Name_2,2018,Q3,1,1,0,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
14113,EMEA,11.154718991696079,0,Person_Name_2,2018,Q3,1,1,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
14145,EMEA,11.299155345461658,0,Person_Name_2,2018,Q3,1,1,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
14237,EMEA,10.800939442523703,0,Person_Name_2,2018,Q3,1,1,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
14238,EMEA,10.318036279377335,0,Person_Name_2,2018,Q3,1,1,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
14264,EMEA,11.234211062500707,0,Person_Name_2,2018,Q3,1,1,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
14265,EMEA,10.42773519663376,0,Person_Name_2,2018,Q3,0,1,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
14266,EMEA,10.63927926578421,0,Person_Name_2,2018,Q3,0,1,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
14369,EMEA,11.323027781668142,0,Person_Name_2,2018,Q3,0,0,0,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
14375,EMEA,12.185593114186133,1,Person_Name_2,2018,Q3,1,1,0,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
14434,EMEA,12.128579575391711,1,Person_Name_2,2018,Q3,0,0,0,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
14436,EMEA,11.402049768624291,0,Person_Name_2,2018,Q3,0,0,0,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
14463,EMEA,10.46052501945675,0,Person_Name_2,2018,Q3,1,1,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
14510,EMEA,11.402049768624291,0,Person_Name_2,2018,Q3,0,0,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
14514,EMEA,11.323027781668142,0,Person_Name_2,2018,Q3,0,0,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
14911,EMEA,11.34012221502744,0,Person_Name_2,2018,Q3,0,0,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
14912,EMEA,11.137624558336778,0,Person_Name_2,2018,Q3,0,0,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
15075,EMEA,9.054344240349776,0,Person_Name_2,2018,Q3,1,1,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
15076,EMEA,10.152956529017887,0,Person_Name_2,2018,Q3,1,1,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
15077,EMEA,10.322316959252346,0,Person_Name_2,2018,Q3,1,1,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
15141,EMEA,11.292869330176895,0,Person_Name_2,2018,Q3,0,0,1,13.895475038093599,12.764299230612849,11.606365974476104,17.320676769083068
12353,EMEA,12.149852232806067,1,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
12354,EMEA,12.337143012313334,1,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
13443,EMEA,11.585596065314142,0,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
13453,EMEA,13.689670510962408,2,Person_Name_2,2018,Q4,0,0,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
13472,EMEA,12.048536867718175,0,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
13473,EMEA,12.000670775692122,0,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
13508,EMEA,11.189875248680655,0,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
13650,EMEA,11.631384312214509,0,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
13651,EMEA,11.998783219516216,0,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
13726,EMEA,13.719653144454895,4,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
13877,EMEA,11.756221582344907,0,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
14214,EMEA,11.138581954293105,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
14215,EMEA,10.552248778018969,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
14216,EMEA,10.28398479142429,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
14308,EMEA,10.445753702136438,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
14309,EMEA,11.665638823202661,0,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
14452,EMEA,12.699298599705841,1,Person_Name_2,2018,Q4,0,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
14590,EMEA,11.773207563233395,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
14591,EMEA,11.243272389037523,0,Person_Name_2,2018,Q4,0,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
14647,EMEA,11.575137649471301,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
14648,EMEA,9.300926501916132,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
14658,EMEA,12.786170199842514,1,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
14660,EMEA,11.739921585599928,0,Person_Name_2,2018,Q4,0,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
14661,EMEA,11.617319263507596,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
14966,EMEA,11.314995609970877,0,Person_Name_2,2018,Q4,0,0,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15117,EMEA,10.977781533553031,0,Person_Name_2,2018,Q4,0,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15118,EMEA,10.977781533553031,0,Person_Name_2,2018,Q4,0,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15263,EMEA,11.549685152282148,0,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15266,EMEA,11.069187999876883,0,Person_Name_2,2018,Q4,0,0,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15355,EMEA,11.177802667446388,0,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15356,EMEA,11.172769780777717,0,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15357,EMEA,10.41566261539949,0,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15358,EMEA,11.177802667446388,0,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15359,EMEA,9.7554595905589,0,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15360,EMEA,10.954659116132177,0,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15363,EMEA,10.409386057965563,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15364,EMEA,10.33527808581184,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15379,EMEA,10.925530843209154,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15380,EMEA,9.891764910066147,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15381,EMEA,9.7554595905589,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15382,EMEA,10.954659116132177,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15383,EMEA,10.826779736939,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15384,EMEA,10.6486279050122,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15385,EMEA,11.177802667446388,0,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15471,EMEA,11.121713200795343,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15519,EMEA,12.873239298555731,1,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15520,EMEA,13.02511982984845,2,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15596,EMEA,11.171894766330203,0,Person_Name_2,2018,Q4,0,0,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15633,EMEA,11.832252124067157,0,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15634,EMEA,11.364612562116303,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15635,EMEA,11.314995609970877,0,Person_Name_2,2018,Q4,0,0,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15787,EMEA,12.749338295463566,1,Person_Name_2,2018,Q4,1,1,0,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
15926,EMEA,10.987350984569183,0,Person_Name_2,2018,Q4,1,1,1,13.74364672796753,11.848593370670342,12.764299230612849,17.30708566553364
13024,EMEA,15.189993265976243,10,Person_Name_2,2019,Q1,1,1,0,13.892823535362705,15.416557520411384,11.848593370670342,17.44955333706079
13025,EMEA,16.54318170809546,39,Person_Name_2,2019,Q1,1,1,0,13.892823535362705,15.416557520411384,11.848593370670342,17.44955333706079
15645,EMEA,13.152202621871673,2,Person_Name_2,2019,Q1,1,1,0,13.892823535362705,15.416557520411384,11.848593370670342,17.44955333706079
16056,EMEA,11.11968685765011,0,Person_Name_2,2019,Q1,1,1,1,13.892823535362705,15.416557520411384,11.848593370670342,17.44955333706079
13026,EMEA,15.209858007002683,10,Person_Name_2,2019,Q2,1,1,0,13.912927174883757,16.09353444667725,15.416557520411384,17.449046827117765
13027,EMEA,16.555215547659184,40,Person_Name_2,2019,Q2,1,1,0,13.912927174883757,16.09353444667725,15.416557520411384,17.449046827117765
1,EMEA,10.940740261872682,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
180,EMEA,11.739921585599928,0,Person_Name_20,2016,Q1,0,0,0,13.892823535362705,12.716313177195659,,17.323479304458672
182,EMEA,11.247114467336615,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
183,EMEA,12.568870307318935,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
184,EMEA,12.414719627491676,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
185,EMEA,11.74983729700735,0,Person_Name_20,2016,Q1,0,0,0,13.892823535362705,12.716313177195659,,17.323479304458672
375,EMEA,11.68235173377845,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
376,EMEA,11.68235173377845,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
416,EMEA,12.632416272543754,0,Person_Name_20,2016,Q1,0,0,0,13.892823535362705,12.716313177195659,,17.323479304458672
419,EMEA,11.192054690153588,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
1871,EMEA,10.418165745617609,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
1872,EMEA,10.842679048696468,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
1873,EMEA,10.77711083809088,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
1874,EMEA,11.702880313919579,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
1875,EMEA,11.702880313919579,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
1876,EMEA,11.702880313919579,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
1877,EMEA,10.64130929693182,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
1878,EMEA,11.470258018650826,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
2007,EMEA,10.786589582045425,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
2081,EMEA,9.096519165400489,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
2082,EMEA,11.789488448837533,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
2211,EMEA,11.712270054269418,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
2308,EMEA,9.023268048137902,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
2309,EMEA,11.789488448837533,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
2315,EMEA,11.712270054269418,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
2331,EMEA,10.940740261872682,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
16174,EMEA,13.98641721194293,2,Person_Name_20,2016,Q1,1,1,0,13.892823535362705,12.716313177195659,,17.323479304458672
16303,EMEA,14.85706666286088,4,Person_Name_20,2016,Q1,1,1,0,13.892823535362705,12.716313177195659,,17.323479304458672
16355,EMEA,13.070126480068776,1,Person_Name_20,2016,Q1,1,1,0,13.892823535362705,12.716313177195659,,17.323479304458672
16356,EMEA,12.80149260258769,1,Person_Name_20,2016,Q1,1,1,1,13.892823535362705,12.716313177195659,,17.323479304458672
16496,EMEA,12.027603658051708,0,Person_Name_20,2016,Q1,1,1,0,13.892823535362705,12.716313177195659,,17.323479304458672
16621,EMEA,14.927725706792373,5,Person_Name_20,2016,Q1,1,1,0,13.892823535362705,12.716313177195659,,17.323479304458672
16703,EMEA,12.80149260258769,1,Person_Name_20,2016,Q1,1,1,0,13.892823535362705,12.716313177195659,,17.323479304458672
16793,EMEA,11.739921585599928,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
16800,EMEA,11.72157244693173,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
16801,EMEA,13.667482595987044,1,Person_Name_20,2016,Q1,0,0,0,13.892823535362705,12.716313177195659,,17.323479304458672
16826,EMEA,10.048703598558145,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
16844,EMEA,13.08917467503947,1,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
16852,EMEA,12.782444407616994,1,Person_Name_20,2016,Q1,1,1,1,13.892823535362705,12.716313177195659,,17.323479304458672
16927,EMEA,11.739921585599928,0,Person_Name_20,2016,Q1,0,0,1,13.892823535362705,12.716313177195659,,17.323479304458672
388,EMEA,15.764190439196245,12,Person_Name_20,2016,Q2,1,1,0,13.912927174883757,14.95016712400085,12.716313177195659,17.394134852560686
417,EMEA,12.619171045793735,0,Person_Name_20,2016,Q2,1,1,1,13.912927174883757,14.95016712400085,12.716313177195659,17.394134852560686
2332,EMEA,10.517955704564338,0,Person_Name_20,2016,Q2,0,0,1,13.912927174883757,14.95016712400085,12.716313177195659,17.394134852560686
2333,EMEA,10.645774836029792,0,Person_Name_20,2016,Q2,0,0,1,13.912927174883757,14.95016712400085,12.716313177195659,17.394134852560686
2614,EMEA,11.858481320324485,0,Person_Name_20,2016,Q2,0,0,1,13.912927174883757,14.95016712400085,12.716313177195659,17.394134852560686
2615,EMEA,11.038171162725892,0,Person_Name_20,2016,Q2,0,0,1,13.912927174883757,14.95016712400085,12.716313177195659,17.394134852560686
2616,EMEA,11.009733133359633,0,Person_Name_20,2016,Q2,0,0,1,13.912927174883757,14.95016712400085,12.716313177195659,17.394134852560686
