,Region,Total_Amount,TRF,Opportunity_Owner,Delivery_Year,Delivery_Quarter,"Pricing, Delivery_Terms_Approved","Pricing, Delivery_Terms_Quote_Appr",Decision,Promedio,Lag_1,Delta
2765,EMEA,10.785863629200476,0,Person_Name_13,2016,Q2,0,0,1,13.617031722066702,13.138057574450846,16.118502800066107
2766,EMEA,10.60426802525147,0,Person_Name_13,2016,Q2,0,0,1,13.617031722066702,13.138057574450846,16.118502800066107
2767,EMEA,10.623316220222163,0,Person_Name_13,2016,Q2,0,0,1,13.617031722066702,13.138057574450846,16.118502800066107
2768,EMEA,11.297415205811415,0,Person_Name_13,2016,Q2,0,0,1,13.617031722066702,13.138057574450846,16.118502800066107
2810,EMEA,11.221138980933356,0,Person_Name_13,2016,Q2,0,0,1,13.617031722066702,13.138057574450846,16.118502800066107
2811,EMEA,10.95013000222252,0,Person_Name_13,2016,Q2,0,0,1,13.617031722066702,13.138057574450846,16.118502800066107
2835,EMEA,11.702880313919579,0,Person_Name_13,2016,Q2,0,0,1,13.617031722066702,13.138057574450846,16.118502800066107
2943,EMEA,14.223673723041104,3,Person_Name_13,2016,Q2,1,1,0,13.617031722066702,13.138057574450846,16.118502800066107
2962,EMEA,11.147789830113629,0,Person_Name_13,2016,Q2,0,0,1,13.617031722066702,13.138057574450846,16.118502800066107
2963,EMEA,11.019302680212856,0,Person_Name_13,2016,Q2,0,0,1,13.617031722066702,13.138057574450846,16.118502800066107
2964,EMEA,11.693401569965035,0,Person_Name_13,2016,Q2,0,0,1,13.617031722066702,13.138057574450846,16.118502800066107
2986,EMEA,11.674170208037149,0,Person_Name_13,2016,Q2,1,1,1,13.617031722066702,13.138057574450846,16.118502800066107
2987,EMEA,12.367317388597092,0,Person_Name_13,2016,Q2,1,1,1,13.617031722066702,13.138057574450846,16.118502800066107
3001,EMEA,11.06479291054266,0,Person_Name_13,2016,Q2,1,1,1,13.617031722066702,13.138057574450846,16.118502800066107
3002,EMEA,11.81402955775365,0,Person_Name_13,2016,Q2,1,1,0,13.617031722066702,13.138057574450846,16.118502800066107
3003,EMEA,11.683462228062478,0,Person_Name_13,2016,Q2,1,1,0,13.617031722066702,13.138057574450846,16.118502800066107
3004,EMEA,11.664414033091782,0,Person_Name_13,2016,Q2,1,1,0,13.617031722066702,13.138057574450846,16.118502800066107
3054,EMEA,11.120882377193706,0,Person_Name_13,2016,Q2,1,1,1,13.617031722066702,13.138057574450846,16.118502800066107
3055,EMEA,10.990315047502532,0,Person_Name_13,2016,Q2,1,1,1,13.617031722066702,13.138057574450846,16.118502800066107
3056,EMEA,11.664414033091782,0,Person_Name_13,2016,Q2,1,1,1,13.617031722066702,13.138057574450846,16.118502800066107
3092,EMEA,12.357561213651728,0,Person_Name_13,2016,Q2,1,1,1,13.617031722066702,13.138057574450846,16.118502800066107
3194,EMEA,11.683832118948885,0,Person_Name_13,2016,Q2,1,1,1,13.617031722066702,13.138057574450846,16.118502800066107
3333,EMEA,11.083841105513356,0,Person_Name_13,2016,Q2,1,1,1,13.617031722066702,13.138057574450846,16.118502800066107
3359,EMEA,9.771475005880875,0,Person_Name_13,2016,Q2,1,1,1,13.617031722066702,13.138057574450846,16.118502800066107
3360,EMEA,11.61586893692995,0,Person_Name_13,2016,Q2,1,1,1,13.617031722066702,13.138057574450846,16.118502800066107
16153,EMEA,13.224277159896033,1,Person_Name_13,2016,Q2,0,1,0,13.617031722066702,13.138057574450846,16.118502800066107
16333,EMEA,13.382645475667495,1,Person_Name_13,2016,Q2,0,1,0,13.617031722066702,13.138057574450846,16.118502800066107
16338,EMEA,12.934620753140535,1,Person_Name_13,2016,Q2,1,1,0,13.617031722066702,13.138057574450846,16.118502800066107
16349,APAC,15.565336303819384,10,Person_Name_13,2016,Q2,1,1,0,13.617031722066702,13.138057574450846,16.118502800066107
16687,EMEA,15.555033129856776,10,Person_Name_13,2016,Q2,1,1,1,13.617031722066702,13.138057574450846,16.118502800066107
16688,EMEA,15.555033129856776,10,Person_Name_13,2016,Q2,1,1,1,13.617031722066702,13.138057574450846,16.118502800066107
16939,EMEA,13.060464569157038,1,Person_Name_13,2016,Q2,1,1,1,13.617031722066702,13.138057574450846,16.118502800066107
16943,EMEA,11.597519798261752,0,Person_Name_13,2016,Q2,1,1,1,13.617031722066702,13.138057574450846,16.118502800066107
80,EMEA,16.268799597619456,20,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
287,Americas,16.0692414847408,15,Person_Name_13,2016,Q3,1,1,0,13.954329391155468,13.617031722066702,16.120187761504422
444,EMEA,12.234958891559396,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
2189,EMEA,15.089094206792499,6,Person_Name_13,2016,Q3,1,1,0,13.954329391155468,13.617031722066702,16.120187761504422
2223,EMEA,16.442548406439187,25,Person_Name_13,2016,Q3,0,1,0,13.954329391155468,13.617031722066702,16.120187761504422
2533,EMEA,12.396027494479524,0,Person_Name_13,2016,Q3,0,1,0,13.954329391155468,13.617031722066702,16.120187761504422
2611,EMEA,11.883890739019217,0,Person_Name_13,2016,Q3,0,1,0,13.954329391155468,13.617031722066702,16.120187761504422
2697,EMEA,14.465990292204816,3,Person_Name_13,2016,Q3,1,1,0,13.954329391155468,13.617031722066702,16.120187761504422
2699,EMEA,14.072065480835517,2,Person_Name_13,2016,Q3,1,1,0,13.954329391155468,13.617031722066702,16.120187761504422
2700,EMEA,14.072065480835517,2,Person_Name_13,2016,Q3,1,1,0,13.954329391155468,13.617031722066702,16.120187761504422
2773,EMEA,12.209925214845663,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3204,EMEA,11.624408698478083,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3334,EMEA,11.804897074190377,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3335,EMEA,11.674170208037149,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3349,EMEA,12.174485224532289,0,Person_Name_13,2016,Q3,0,1,0,13.954329391155468,13.617031722066702,16.120187761504422
3438,EMEA,15.445032234642447,10,Person_Name_13,2016,Q3,1,1,0,13.954329391155468,13.617031722066702,16.120187761504422
3454,EMEA,11.585187985324803,0,Person_Name_13,2016,Q3,1,1,0,13.954329391155468,13.617031722066702,16.120187761504422
3468,EMEA,10.757879476162993,0,Person_Name_13,2016,Q3,0,0,1,13.954329391155468,13.617031722066702,16.120187761504422
3469,EMEA,9.659080463565669,0,Person_Name_13,2016,Q3,0,0,1,13.954329391155468,13.617031722066702,16.120187761504422
3470,EMEA,11.04275702214348,0,Person_Name_13,2016,Q3,0,0,1,13.954329391155468,13.617031722066702,16.120187761504422
3485,EMEA,11.093230845863195,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3486,EMEA,11.663659600766298,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3487,EMEA,12.050076513903768,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3573,EMEA,11.624408698478083,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3584,EMEA,11.776988286073301,0,Person_Name_13,2016,Q3,0,0,1,13.954329391155468,13.617031722066702,16.120187761504422
3664,EMEA,9.733375159648604,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3665,EMEA,9.569468304875981,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3666,EMEA,11.314253770174243,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3681,EMEA,11.66214902646093,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3781,EMEA,10.455232446090982,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3782,EMEA,11.333301965144939,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3783,EMEA,11.624408698478083,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3784,EMEA,11.318668159685242,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3898,EMEA,11.479827469666976,0,Person_Name_13,2016,Q3,0,1,0,13.954329391155468,13.617031722066702,16.120187761504422
3937,EMEA,10.119231796368393,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3952,EMEA,10.966529656755597,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
3953,EMEA,10.994228946823668,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
4033,EMEA,13.775062868383184,2,Person_Name_13,2016,Q3,1,1,0,13.954329391155468,13.617031722066702,16.120187761504422
4046,EMEA,11.66214902646093,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
4051,EMEA,11.380645859961138,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
4075,EMEA,11.122612481431487,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
4076,EMEA,10.525796409809974,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
4206,EMEA,11.603789411275349,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
4255,EMEA,10.348485824979619,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
4256,EMEA,11.26188578465693,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
4260,EMEA,13.02975125456867,1,Person_Name_13,2016,Q3,1,1,0,13.954329391155468,13.617031722066702,16.120187761504422
4379,EMEA,11.438816492816006,0,Person_Name_13,2016,Q3,1,1,1,13.954329391155468,13.617031722066702,16.120187761504422
16295,EMEA,14.293532020804484,3,Person_Name_13,2016,Q3,1,1,0,13.954329391155468,13.617031722066702,16.120187761504422
16938,EMEA,14.240841526663468,3,Person_Name_13,2016,Q3,0,1,0,13.954329391155468,13.617031722066702,16.120187761504422
2034,EMEA,15.547283131672746,12,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
2035,EMEA,14.8541359511128,6,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
2188,EMEA,15.213736651999776,7,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
2222,EMEA,16.442548406439187,25,Person_Name_13,2016,Q4,0,1,0,14.656776325497907,13.954329391155468,16.200816836660582
2384,EMEA,12.764087152098623,1,Person_Name_13,2016,Q4,0,1,0,14.656776325497907,13.954329391155468,16.200816836660582
2779,EMEA,14.922510571113264,5,Person_Name_13,2016,Q4,0,1,0,14.656776325497907,13.954329391155468,16.200816836660582
2825,EMEA,12.964396073524542,1,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
2826,EMEA,15.077279504083453,7,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
2834,EMEA,13.205462210366022,1,Person_Name_13,2016,Q4,0,1,0,14.656776325497907,13.954329391155468,16.200816836660582
2941,APAC,17.054149009328633,50,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
3000,EMEA,12.200263303933927,0,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
3210,EMEA,11.664414033091782,0,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
3312,EMEA,12.304811486207862,0,Person_Name_13,2016,Q4,0,1,0,14.656776325497907,13.954329391155468,16.200816836660582
3434,EMEA,12.632927943619155,1,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
3480,EMEA,12.796229624018173,1,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
3481,EMEA,12.394992852019529,1,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
3482,EMEA,12.394992852019529,1,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
3483,EMEA,15.78026563847651,14,Person_Name_13,2016,Q4,0,1,0,14.656776325497907,13.954329391155468,16.200816836660582
3484,EMEA,15.78037511753875,14,Person_Name_13,2016,Q4,0,1,0,14.656776325497907,13.954329391155468,16.200816836660582
3684,EMEA,17.33280635711009,60,Person_Name_13,2016,Q4,0,1,0,14.656776325497907,13.954329391155468,16.200816836660582
3685,APAC,15.966972716214734,20,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
3742,EMEA,16.01797562989083,20,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
3808,EMEA,15.381709432180013,9,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
3858,EMEA,13.086767935008904,1,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
4030,EMEA,14.797500276437917,5,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
4031,EMEA,13.128919166184483,1,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
4032,EMEA,14.278619378802496,3,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
4047,EMEA,13.003534570119362,1,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
4052,EMEA,13.105013739069216,1,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
4093,EMEA,15.9143647979867,17,Person_Name_13,2016,Q4,0,1,0,14.656776325497907,13.954329391155468,16.200816836660582
4121,EMEA,11.550300726324362,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
4235,EMEA,12.33055320263428,0,Person_Name_13,2016,Q4,0,0,0,14.656776325497907,13.954329391155468,16.200816836660582
4263,EMEA,13.134589878192376,1,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
4271,EMEA,13.163832810291126,1,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
4284,EMEA,13.338750978594295,1,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
4448,EMEA,15.356347642052468,10,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
4489,EMEA,8.149103344662207,0,Person_Name_13,2016,Q4,0,0,1,14.656776325497907,13.954329391155468,16.200816836660582
4490,EMEA,10.733101024688171,0,Person_Name_13,2016,Q4,0,0,1,14.656776325497907,13.954329391155468,16.200816836660582
4491,EMEA,13.118493900625909,1,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
4494,EMEA,11.59088600643944,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
4495,EMEA,12.36477495097542,0,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
4510,EMEA,11.477330022574805,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
4511,EMEA,11.579457310615817,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
4512,EMEA,11.45828182760411,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
4547,EMEA,10.940740261872682,0,Person_Name_13,2016,Q4,0,0,1,14.656776325497907,13.954329391155468,16.200816836660582
4609,EMEA,12.254585985673085,0,Person_Name_13,2016,Q4,0,1,1,14.656776325497907,13.954329391155468,16.200816836660582
4624,EMEA,11.535826229256413,0,Person_Name_13,2016,Q4,0,0,1,14.656776325497907,13.954329391155468,16.200816836660582
4636,EMEA,11.516778034285718,0,Person_Name_13,2016,Q4,0,0,1,14.656776325497907,13.954329391155468,16.200816836660582
4637,EMEA,11.49378851606102,0,Person_Name_13,2016,Q4,0,0,1,14.656776325497907,13.954329391155468,16.200816836660582
4684,EMEA,10.470736632626947,0,Person_Name_13,2016,Q4,0,0,1,14.656776325497907,13.954329391155468,16.200816836660582
4685,EMEA,9.535397705782097,0,Person_Name_13,2016,Q4,0,0,1,14.656776325497907,13.954329391155468,16.200816836660582
4686,EMEA,11.017540025692115,0,Person_Name_13,2016,Q4,0,0,1,14.656776325497907,13.954329391155468,16.200816836660582
4788,EMEA,10.807993609095547,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
4791,EMEA,10.630835052636192,0,Person_Name_13,2016,Q4,0,0,1,14.656776325497907,13.954329391155468,16.200816836660582
4792,EMEA,10.995800039055709,0,Person_Name_13,2016,Q4,0,0,1,14.656776325497907,13.954329391155468,16.200816836660582
4810,EMEA,11.577155813627538,0,Person_Name_13,2016,Q4,0,0,0,14.656776325497907,13.954329391155468,16.200816836660582
4836,EMEA,13.000347426840865,1,Person_Name_13,2016,Q4,0,1,0,14.656776325497907,13.954329391155468,16.200816836660582
4886,EMEA,10.98296289229503,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
4887,EMEA,10.645148073238984,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
4888,EMEA,11.579457310615817,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
4889,EMEA,10.13652598762179,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
4942,EMEA,11.968588317570248,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
4980,EMEA,12.290505701505003,0,Person_Name_13,2016,Q4,0,0,1,14.656776325497907,13.954329391155468,16.200816836660582
5001,EMEA,12.827831901251301,1,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
5025,EMEA,11.313254269841162,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
5040,EMEA,13.73710443076205,2,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
5062,EMEA,11.624408698478083,0,Person_Name_13,2016,Q4,0,0,0,14.656776325497907,13.954329391155468,16.200816836660582
5063,EMEA,11.470258018650826,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
5161,EMEA,10.1303088327073,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
5162,EMEA,9.265311395220696,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
5163,EMEA,9.758118513484009,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
5164,EMEA,10.766061001904296,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
5221,EMEA,11.17915128531768,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
5222,EMEA,10.202966949592549,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
5223,EMEA,11.579457310615817,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
5224,EMEA,10.784182963254528,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
5225,EMEA,10.765134647044164,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
5408,EMEA,9.662808333679683,0,Person_Name_13,2016,Q4,0,0,1,14.656776325497907,13.954329391155468,16.200816836660582
5409,EMEA,14.113275749482181,3,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
5498,EMEA,16.089733212787806,27,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
5502,EMEA,9.181315702060566,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
5503,EMEA,10.603977707351332,0,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
16163,EMEA,14.33919354050607,4,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
16164,EMEA,14.38631375425545,4,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
16165,EMEA,14.893673170044954,6,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
16169,EMEA,13.353198274341194,1,Person_Name_13,2016,Q4,1,1,1,14.656776325497907,13.954329391155468,16.200816836660582
16806,EMEA,15.9538450317746,16,Person_Name_13,2016,Q4,1,1,0,14.656776325497907,13.954329391155468,16.200816836660582
16807,EMEA,14.845947640765768,5,Person_Name_13,2016,Q4,0,1,0,14.656776325497907,13.954329391155468,16.200816836660582
16940,Americas,16.19056327848211,20,Person_Name_13,2016,Q4,0,1,0,14.656776325497907,13.954329391155468,16.200816836660582
16941,Americas,16.17456293713567,20,Person_Name_13,2016,Q4,0,1,0,14.656776325497907,13.954329391155468,16.200816836660582
407,EMEA,14.843528693778458,6,Person_Name_13,2017,Q1,0,1,0,13.15444811806751,14.656776325497907,15.88098068762362
668,EMEA,11.495575826635115,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
720,EMEA,12.992684554095296,1,Person_Name_13,2017,Q1,1,1,0,13.15444811806751,14.656776325497907,15.88098068762362
748,EMEA,11.520268439225488,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
778,EMEA,11.59129176826282,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
779,EMEA,11.495575826635115,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
780,EMEA,11.356929333343823,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
913,EMEA,10.245413639839805,0,Person_Name_13,2017,Q1,0,1,0,13.15444811806751,14.656776325497907,15.88098068762362
1116,EMEA,9.493095326091408,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
1117,EMEA,11.264814044436017,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
1118,EMEA,12.18872300719506,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1119,EMEA,10.69009946110125,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1120,EMEA,10.709147786758859,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1141,EMEA,10.257701470633497,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
1142,EMEA,11.389222755064537,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
1143,EMEA,11.203120475430676,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
1203,EMEA,9.97265030759205,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1204,EMEA,8.007691690612377,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1259,EMEA,9.576388747720555,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1260,EMEA,9.387391816089625,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1261,EMEA,11.073091713357357,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1290,EMEA,11.348948855926597,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
1291,EMEA,11.348948855926597,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
1293,EMEA,7.975534578977847,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1294,EMEA,10.136004535655978,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1295,EMEA,11.102533238525508,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1296,EMEA,8.707148040365588,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1303,EMEA,12.97872646610506,1,Person_Name_13,2017,Q1,1,1,0,13.15444811806751,14.656776325497907,15.88098068762362
1347,EMEA,11.513275403734516,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1348,EMEA,11.507998346633672,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1398,EMEA,11.008220233334951,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1399,EMEA,11.579457310615817,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1490,EMEA,8.707148040365588,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1491,EMEA,11.439005475146722,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1496,EMEA,11.482997044428256,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1511,EMEA,10.509973294870731,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1514,EMEA,10.137452342481922,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1515,EMEA,11.197843418329834,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1566,EMEA,11.495575826635115,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1610,EMEA,11.816666769891476,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
1644,EMEA,9.576388747720555,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1645,EMEA,11.107810295626352,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1646,EMEA,9.79285692419779,0,Person_Name_13,2017,Q1,0,0,1,13.15444811806751,14.656776325497907,15.88098068762362
1667,EMEA,10.2695359282805,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
1668,EMEA,10.093442401485479,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
1669,EMEA,10.608034508046947,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
1790,EMEA,10.650359132451737,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
1791,EMEA,10.886310130055872,0,Person_Name_13,2017,Q1,1,1,1,13.15444811806751,14.656776325497907,15.88098068762362
